No.,Item,Description,Date,"Transaction
Type",Quantity,Unit,Assigned,Assign history,Status,S/N,Remark
945,"Monitor HP 19,5 inch - widescreen (hdmi port)",V003,12/01/2026,out,1.0,pcs,,,,3CQ3240J7T,
946,"Monitor HP 19,5 inch - widescreen (hdmi port)",V003,12/01/2026,out,1.0,pcs,,,,3CQ2320662,
947,"Monitor HP 19,5 inch - widescreen (hdmi port)",V003,12/01/2026,out,1.0,pcs,,,,1CR82307C4,
948,Maken MK410,V003,12/01/2026,out,1.0,pcs,,,,MK410221102176,
949,Maken MK410,V003,12/01/2026,out,1.0,pcs,,,,MK410221102399,
950,Pole Display,V003,12/01/2026,out,1.0,pcs,,,,2TD311NAFS,
951,Pole Display,V003,12/01/2026,out,1.0,pcs,,,,2TD3311NAFQ,
952,Scanner Wireless DS2278,V003,12/01/2026,out,1.0,pcs,,,,S24019523702434(Scan),scan
953,Scanner Wireless DS2278,V003,12/01/2026,out,1.0,pcs,,,,S24017523702131(Dock scan),Dock scan
954,Scanner Wireless DS2278,V003,12/01/2026,out,1.0,pcs,,,,S24020523701951(Scan),scan
955,Scanner Wireless DS2278,V003,12/01/2026,out,1.0,pcs,,,,S24016523701462(Dock scan),Dock scan
956,"Printer Cashier - Thermal Star printer MCP31L, USB",V003,12/01/2026,out,1.0,pcs,,,,2530022102301140,
957,"Printer Cashier - Thermal Star printer MCP31L, USB",V003,12/01/2026,out,1.0,pcs,,,,2534123052300530,
958,A4 Printer,V003,12/01/2026,out,1.0,pcs,,,,CNB2Q9TRM8,
959,HP EngageGo10 Mobile tablet (i5 8Gb with scanner),V003,12/01/2026,out,1.0,pcs,,,,5CG3350NKD,
960,Star-SM-T300I2-DB50,V003,12/01/2026,out,1.0,pcs,,,,2560023022000020,
961,Fortigate-60F,V003,12/01/2026,out,1.0,pcs,,,,FGT60FTK23084659,
962,Zebra-Dock PDT,V003,12/01/2026,out,1.0,pcs,,,,S23069523701506,
963,UPS,V003,12/01/2026,out,1.0,pcs,,,,9B2229A23669,
964,Desktop HP  PRO MINI 400 G9,VH01,12/01/2026,out,1.0,pcs,,,,8CC51110T0,
965,Desktop HP  PRO MINI 400 G9,VH01,12/01/2026,out,1.0,pcs,,,,8CC3500VT4,
966,Maken MK410,VH01,12/01/2026,out,1.0,pcs,,,,MK410211201000,
967,Maken MK410,VH01,12/01/2026,out,1.0,pcs,,,,MK410221102371,
968,Pole Display VFD,VH01,12/01/2026,out,1.0,pcs,,,,2108112341009,
969,Pole Display VFD,VH01,12/01/2026,out,1.0,pcs,,,,VFD220U13B20120034,
970,Datalogic QW2100,VH01,12/01/2026,out,1.0,pcs,,,,G23D05705,
971,Datalogic QW2100,VH01,12/01/2026,out,1.0,pcs,,,,G23C76627,
972,"Monitor HP 19,5 inch - widescreen (hdmi port)",VH01,12/01/2026,out,1.0,pcs,,,,1CR82307C2,
973,"Monitor HP 19,5 inch - widescreen (hdmi port)",VH01,12/01/2026,out,1.0,pcs,,,,1CR82307CR,
974,"Monitor HP 19,5 inch - widescreen (hdmi port)",VH01,12/01/2026,out,1.0,pcs,,,,3CQ3240J5T,
975,Epsion T82III,VH01,12/01/2026,out,1.0,pcs,,,,X7B9025644,
976,Epsion T82III,VH01,12/01/2026,out,1.0,pcs,,,,X7B9022786,
977,Cisco CBS110-16T-EU ,VH01,12/01/2026,out,1.0,pcs,,,,KWC29190Y1G,
978,Wifi UBIQUITI UniFi,VH01,12/01/2026,out,1.0,pcs,,,,9C05D6797F57,
979,Fortigate-40F,VH01,12/01/2026,out,1.0,pcs,,,,FGT40FTK24086915,
980,Canon LBP 2900,VH01,12/01/2026,out,1.0,pcs,,,,NMYA802553,
981,Dell Precision 3680 Tower,VH01,12/01/2026,out,1.0,pcs,,,,C711P94,
982,Zebra TC26BK,VH01,12/01/2026,out,1.0,pcs,,,,S23118523021439,
983,Star-SM-L200-UB40,VH01,12/01/2026,out,1.0,pcs,,,,2530022102301150,
984,Ipad Air 13-inch(M3) ,Buy for A002,,in,1.0,pcs,,,,SK5QKJH956L,
985,Desktop HP  PRO MINI 400 G9,VN28,25/12/2025,out,1.0,pcs,,,,8CC51110R7,
986,Maken MK410,VN28,25/12/2025,out,1.0,pcs,,,,MK410221102347,
987,Pole Display VFD,VN28,25/12/2025,out,1.0,pcs,,,,211130000024,
988,Datalogic QW2100,VN28,25/12/2025,out,1.0,pcs,,,,G23C76551,
989,Monitor HP V190,VN28,25/12/2025,out,1.0,pcs,,,,1CR8420G66,
990,Epson TM-82III,VN28,25/12/2025,out,1.0,pcs,,,,X7BA004103,
991,Cisco CBS110-16T-EU ,VN28,25/12/2025,out,1.0,pcs,,,,KWC29190Y0E,
992,Wifi UBIQUITI UniFi,VN28,25/12/2025,out,1.0,pcs,,,,9C05D679A3DC,
993,Fortigate-40F,VN28,25/12/2025,out,1.0,pcs,,,, FGT40FTK24086493,
994,Canon LBP ,VN28,25/12/2025,out,1.0,pcs,,,,NMYA467073,
995,Samsung Galaxy Tab S6 Lite 4GB 64GB,VN28,25/12/2025,out,1.0,pcs,,,,352294624027473,
996,"Postek IQ200, 203dpi -Bluetooth",VN28,25/12/2025,out,1.0,pcs,,,,I1624C00019,
997,Zebra TC26BK,VN28,25/12/2025,out,1.0,pcs,,,,S23118523021190,
998,Star-SM-L200-UB40,VN28,25/12/2025,out,1.0,pcs,,,,2530022102300930,
999,Desktop HP  PRO MINI 400 G9,VA19,03/01/2026,out,1.0,pcs,,,,8CC51110Q1,
1000,Maken MK410,VA19,03/01/2026,out,1.0,pcs,,,,MK410221101694,
1001,Pole Display VFD,VA19,03/01/2026,out,1.0,pcs,,,,VFD220U13B20120033,
1002,Datalogic QW2100,VA19,03/01/2026,out,1.0,pcs,,,,G21E85754,
1003,Monitor HP V190,VA19,03/01/2026,out,1.0,pcs,,,,1CR82307CB,
1004,Epson TM-82III,VA19,03/01/2026,out,1.0,pcs,,,,X7B9023460,
1005,Cisco CBS110-16T-EU ,VA19,03/01/2026,out,1.0,pcs,,,,KWC29190Y1C,
1006,Wifi UBIQUITI UniFi,VA19,03/01/2026,out,1.0,pcs,,,,9C05D67658B6,
1007,Fortigate-40F,VA19,03/01/2026,out,1.0,pcs,,,,FGT40FTK24086985,
1008,Canon LBP 2900,VA19,03/01/2026,out,1.0,pcs,,,,NMYA802536,
1009,Samsung Galaxy Tab S10 FE 5G 8GB 128GB,VA19,03/01/2026,out,1.0,pcs,,,,356160460426515,
1010,"Postek IQ200, 203dpi -Bluetooth",VA19,03/01/2026,out,1.0,pcs,,,,I1623F0001,
1011,Zebra TC26BK,VA19,03/01/2026,out,1.0,pcs,,,,S24164523022684,
1012,Star-SM-L200-UB40,VA19,03/01/2026,out,1.0,pcs,,,,2530022102300950,
1013,Desktop HP  PRO MINI 400 G9,A002,06/02/2026,out,1.0,pcs,,,,8CC3213L46,
1014,Poscom,A002,06/02/2026,out,1.0,pcs,,,,20201130017,
1015,Pole Display VFD,A002,06/02/2026,out,1.0,pcs,,,,211130000023,
1016,Datalogic QW2100,A002,06/02/2026,out,1.0,pcs,,,,G23D05251,
1017,Monitor HP V190,A002,06/02/2026,out,1.0,pcs,,,,1CR82307CJ,
1018,Epson TM-82III,A002,06/02/2026,out,1.0,pcs,,,,X7BA004104,
1019,Cisco CBS110-16T-EU ,A002,06/02/2026,out,1.0,pcs,,,,PSZ27181D30,
1020,Wifi UBIQUITI UniFi ,A002,06/02/2026,out,1.0,pcs,,,,9C05D679853C,
1021,Fortigate-40F,A002,06/02/2026,out,1.0,pcs,,,,FGT40FTK24007310,
1022,Ruijie RG-EW1200G Pro,A002,06/02/2026,out,1.0,pcs,,,,ZAU82MM037794,
1023,Hp laserjet 107a,A002,06/02/2026,out,1.0,pcs,,,,CNB3R38327,
1024,Ipad Air 13-inch(M3) ,A002,06/02/2026,out,1.0,pcs,,,,SK5QKJH956L,
1025,Zebra TC26BK,A002,06/02/2026,out,1.0,pcs,,,,24164523022756,
1026,Star-SM-L200-UB40,A002,06/02/2026,out,1.0,pcs,,,,234123052300546,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
1026,,,,,,,,,,,
